"","curl1","curl2","curl3","strait1","strait2","strait3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"1700001K23Rik",0,1.22425146238121,2.17358675636011,0,0,0,0.56630636979022,2.4992925969413,3.34449801343028,0.747284820294424,0.454891653395159,NA,"1700001K23Rik","69319"
"1700001L05Rik",13.1766072350789,7.34550877428725,11.9547271599806,0,0,1.10784926518995,5.59744873908946,4.84003840279143,1.49706065032084,3.23302760095533,0.00122485727946052,0.00533806383968584,"1700001L05Rik","69291"
"1700001L19Rik",2.10825715761263,1.22425146238121,0,0,0,0,0.555418103332306,2.5350080691017,3.30781031818797,0.766370446081196,0.443455912637474,NA,"1700001L19Rik","69315"
"1700001O22Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700001O22Rik","73598"
"1700001P01Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700001P01Rik","72215"
"1700003C15Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700003C15Rik","69345"
"1700003D09Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700003D09Rik","69338"
"1700003E16Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700003E16Rik","71837"
"1700003E24Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700003E24Rik","100042663"
"1700003F12Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700003F12Rik","75480"
"1700003G13Rik",0,0,1.08679337818006,137.976523030731,104.162918088558,120.755569905705,60.6636340671957,-8.57118986047952,1.23237498857746,-6.95501770153037,3.5251777067944e-12,1.05081982653096e-10,"1700003G13Rik",NA
"1700003G18Rik",19.5013787079168,22.0365263228618,14.1283139163407,2.87451089647355,2.26441126279475,4.43139706075981,10.8727563611912,2.54264686856497,0.82278869500898,3.09027929526574,0.00199968358992244,0.00808097572591659,"1700003G18Rik","69350"
"1700003H04Rik",4.21651431522526,8.56976023666846,7.6075536472604,0,0,0,3.39897136652569,5.10262648760644,1.675793466282,3.04490176759514,0.002327563189368,0.00916175837001973,"1700003H04Rik","384775"
"1700003I22Rik",0,0,0,0.958170298824518,6.79323378838425,0,1.29190068120146,-3.97653299281791,2.57881911378373,-1.54199764208487,0.12307416658134,0.211262832229077,"1700003I22Rik","69356"
"1700003L19Rik",5.27064289403157,30.6062865595302,6.52076026908034,0,0,0,7.06628162044035,6.15404591327265,1.58496199092075,3.88277192041533,0.000103272427178525,0.000631789865537706,"1700003L19Rik","75493"
"1700003M02Rik",0,1.22425146238121,0,0,0,0,0.204041910396868,0.809987487622326,4.06699204282385,0.199161316052127,0.84213655851987,NA,"1700003M02Rik",NA
"1700003M07Rik",0.527064289403157,0,0,4.79085149412259,7.92543941978162,12.1863419170895,4.23828285339947,-4.72682145650141,1.55876447754098,-3.03241543196966,0.00242605065274977,0.00947561631467815,"1700003M07Rik","72225"
"1700003P14Rik",1.05412857880631,0,0,6.70719209177163,13.5864675767685,9.97064338670958,5.219738605676,-4.32529354192585,1.43080551746196,-3.022977958317,0.0025030047356578,0.00969058236220379,"1700003P14Rik","75890"
"1700006A11Rik",1.05412857880631,1.22425146238121,0,0,1.13220563139737,1.10784926518995,0.753072489629142,0.0716820688000692,2.47391355167339,0.0289751712429816,0.976884392755838,NA,"1700006A11Rik","71824"
"1700006E09Rik",0,0,0,3.83268119529807,3.39661689419212,3.32354779556986,1.75880764751001,-4.42891773376603,1.97998073836938,-2.2368488985471,0.0252962173931931,0.0639030353654913,"1700006E09Rik",NA
"1700006F04Rik",0,0,0,0.958170298824518,0,0,0.159695049804086,-1.22082899275181,4.0804728567969,-0.299188117553156,0.764796515123686,NA,"1700006F04Rik","75432"
"1700006H21Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700006H21Rik","72257"
"1700007B14Rik",7.3789000516442,4.89700584952483,6.52076026908034,1.91634059764904,0,8.86279412151962,4.92930014823634,0.818555840979502,1.192706167802,0.686301339824539,0.492523104259429,0.605989006655196,"1700007B14Rik",NA
"1700007F19Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700007F19Rik","67850"
"1700007G11Rik",1.05412857880631,0,0,0.958170298824518,0,1.10784926518995,0.520024690470131,-0.618239614913934,3.08285844833405,-0.2005410320568,0.84105747076844,NA,"1700007G11Rik",NA
"1700007J10Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700007J10Rik","69320"
"1700007K09Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700007K09Rik",NA
"1700007K13Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700007K13Rik","69327"
"1700007L15Rik",0.527064289403157,1.22425146238121,0,0,0,0,0.291885958630728,1.53058070860726,4.04614451039575,0.378281276082637,0.705221653342238,NA,"1700007L15Rik","100502742"
"1700007P06Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700007P06Rik","69308"
"1700008C04Rik",1.05412857880631,0,0,1.91634059764904,0,1.10784926518995,0.679719740274217,-1.16355907314704,2.80028863407364,-0.41551397916235,0.677765683838351,NA,"1700008C04Rik","75494"
"1700008J07Rik",0,1.22425146238121,0,2.87451089647355,4.5288225255895,0,1.43793081407404,-2.89219120022947,2.2464919401015,-1.2874255850207,0.197945991437669,0.304655962456352,"1700008J07Rik","629159"
"1700008K24Rik",0.527064289403157,0,0,0,0,0,0.0878440482338595,0.648704840267485,4.07237813541102,0.15929386189036,0.873437356515855,NA,"1700008K24Rik","69311"
"1700008O03Rik",2.63532144701579,2.44850292476242,0,0,0,0,0.847304061963034,3.12959028072883,2.84186519550307,1.10124515606196,0.270789973482635,NA,"1700008O03Rik","69349"
"1700008P02Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700008P02Rik","69347"
"1700009C05Rik",1.05412857880631,1.22425146238121,0,0,0,0,0.379730006864587,1.96632501696914,3.81378018798563,0.515584255003358,0.606144809417348,NA,"1700009C05Rik","74220"
"1700009J07Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700009J07Rik","75188"
"1700009N14Rik",251.936730334709,270.559573186247,422.762624112042,225.170020223762,276.258174060959,214.922757446851,276.934979894095,0.398970132545093,0.393565869911021,1.01373153275535,0.310710873361921,0.430227529764705,"1700009N14Rik","75471"
"1700010B08Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700010B08Rik","75485"
"1700010D01Rik",0,0,1.08679337818006,0,0,0,0.181132229696676,0.809987487622326,4.06699204282385,0.199161316052127,0.84213655851987,NA,"1700010D01Rik","76386"
"1700010I02Rik",0,1.22425146238121,0,0,0,0,0.204041910396868,0.809987487622326,4.06699204282385,0.199161316052127,0.84213655851987,NA,"1700010I02Rik","75476"
"1700010I14Rik",0,1.22425146238121,0,1.91634059764904,1.13220563139737,0,0.71213294857127,-1.60522306471765,2.78599816666434,-0.576175204967768,0.564496762885109,NA,"1700010I14Rik","66931"
"1700010J16Rik",0.527064289403157,0,0,0,0,1.10784926518995,0.272485592432185,-0.313077051248528,4.07237789818556,-0.0768781923180605,0.938720446203516,NA,"1700010J16Rik","69355"
"1700010K23Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700010K23Rik","75501"
"1700011A15Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700011A15Rik",NA
"1700011B04Rik",0.527064289403157,3.67275438714363,0,5.74902179294711,24.9085238907422,34.3433272208885,11.5334485968541,-4.13153078924672,1.14032511177601,-3.62311655385018,0.000291074580535031,0.00154986625621563,"1700011B04Rik","100503727"
"1700011C11Rik",1.05412857880631,0,0,0,0,0,0.175688096467719,1.18196178239688,4.05630175741403,0.291389017159907,0.770753813333353,NA,"1700011C11Rik","75451"
"1700011E24Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700011E24Rik",NA
"1700011H14Rik",0,1.22425146238121,0,0,1.13220563139737,0,0.392742848963097,-0.15516908551642,3.84075093564996,-0.0404007154111806,0.967773659900768,NA,"1700011H14Rik",NA
"1700011I03Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700011I03Rik",NA
"1700011L22Rik",1.05412857880631,2.44850292476242,0,0,0,0,0.583771917261455,2.56587618371439,3.24777289200461,0.790041751389414,0.429503385602379,NA,"1700011L22Rik","67687"
"1700011M02Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700011M02Rik","75443"
"1700012A03Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700012A03Rik","76382"
"1700012B07Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700012B07Rik","69324"
"1700012B09Rik",0,0,1.08679337818006,1.91634059764904,0,2.21569853037991,0.8698054177015,-2.04474069924132,2.58678442828849,-0.790456551725181,0.429261186755588,NA,"1700012B09Rik","69325"
"1700012C14Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700012C14Rik","69337"
"1700012D01Rik",0,0,0,0,1.13220563139737,0,0.188700938566229,-1.22082899275181,4.0804728567969,-0.299188117553156,0.764796515123686,NA,"1700012D01Rik","72243"
"1700012D14Rik",2.10825715761263,0,0,0,0,0,0.351376192935438,1.91780578055397,4.01752200313793,0.477360367673419,0.633105530733952,NA,"1700012D14Rik","75479"
"1700012D16Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700012D16Rik","75489"
"1700012H19Rik",2.63532144701579,0,0,0,0,0,0.439220241169298,2.22706579940012,3.99657915758698,0.557243009980755,0.577361407411801,NA,"1700012H19Rik","76393"
"1700012I11Rik",1.05412857880631,0,0,0,0,0,0.175688096467719,1.18196178239688,4.05630175741403,0.291389017159907,0.770753813333353,NA,"1700012I11Rik","69334"
"1700012L04Rik",0,0,0,6.70719209177163,3.39661689419212,4.43139706075981,2.42253434112059,-4.89411947752423,1.82427967387856,-2.68276818933083,0.00730155817149177,0.0234020342240624,"1700012L04Rik",NA
"1700012P22Rik",0,0,0,0.958170298824518,0,0,0.159695049804086,-1.22082899275181,4.0804728567969,-0.299188117553156,0.764796515123686,NA,"1700012P22Rik","69364"
"1700013D24Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700013D24Rik","76921"
"1700013F07Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700013F07Rik","75504"
"1700013G24Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700013G24Rik","69380"
"1700013H16Rik",0,0,0,0,0,1.10784926518995,0.184641544198325,-1.22082899275181,4.0804728567969,-0.299188117553156,0.764796515123686,NA,"1700013H16Rik","75514"
"1700015E13Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700015E13Rik",NA
"1700015F17Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700015F17Rik","381716"
"1700015G11Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700015G11Rik","100503036"
"1700016C15Rik",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"1700016C15Rik","69428"
"1700016D06Rik",1.58119286820947,2.44850292476242,1.08679337818006,0,1.13220563139737,0,1.04144913375822,2.15282942473411,2.22085506284749,0.969369618372955,0.332360805259159,NA,"1700016D06Rik","76413"
"1700016G22Rik",0,2.44850292476242,1.08679337818006,0,0,0,0.589216050490412,2.54907646350125,3.30574034304604,0.771106075788285,0.440644059583262,NA,"1700016G22Rik","71867"
